time	V(-y)	V(x)	V(z)
7.662317809164332e-07	-2.220446e-16	1.254350e-17	1.562393e-18
7.662317809174332e-07	-1.110223e-16	1.352415e-17	1.562393e-18
7.662317809184332e-07	0.000000e+00	1.530207e-17	1.562393e-18
7.662317809204332e-07	7.401374e-17	2.130246e-17	1.562393e-18
7.662317809214332e-07	1.110223e-16	2.429799e-17	1.562393e-18
7.662317809234331e-07	1.110223e-16	1.660608e-17	1.562393e-18
7.662317809274332e-07	7.401459e-17	-1.978351e-18	1.562393e-18
7.662317809354332e-07	-4.042199e-22	3.600898e-18	1.562393e-18
7.662339782010582e-07	-3.841602e-19	1.075735e-17	1.562387e-18
7.662339858304527e-07	0.000000e+00	2.682291e-18	1.562389e-18
7.662340010892418e-07	0.000000e+00	-1.039287e-17	1.562393e-18
7.662340316068199e-07	0.000000e+00	-1.205086e-17	1.562393e-18
7.662340926419761e-07	0.000000e+00	-2.031944e-17	1.562393e-18
7.662342147122886e-07	1.105903e-16	6.112571e-17	1.562393e-18
7.662342151891258e-07	1.998401e-16	8.204085e-17	1.562393e-18
7.662342153083351e-07	2.220446e-16	6.926718e-17	1.562393e-18
7.662342155467537e-07	1.850372e-16	6.973980e-18	1.562393e-18
7.662342160235909e-07	3.700743e-17	-2.606242e-17	1.562393e-18
7.662342169772652e-07	-3.364415e-18	1.051062e-17	1.562393e-18
7.662342170070675e-07	7.401480e-17	-1.654689e-17	1.562393e-18
7.662342170666722e-07	1.143867e-16	-8.454744e-17	1.562393e-18
7.662342170685348e-07	7.401713e-17	-8.983004e-17	1.562393e-18
7.662342170722601e-07	-3.700687e-17	-8.947548e-17	1.562393e-18
7.662342170797107e-07	-1.480300e-16	-5.582540e-17	1.562393e-18
7.662342170946118e-07	-2.220446e-16	-3.134107e-17	1.562393e-18
7.662342170956118e-07	-1.480207e-16	-3.599255e-17	1.562393e-18
7.662342170976118e-07	7.401374e-17	-2.929040e-17	1.562393e-18
7.662342171016118e-07	1.332281e-16	7.963804e-18	1.562393e-18
7.662342171026118e-07	5.551115e-17	-8.043425e-18	1.562393e-18
7.662342171036118e-07	0.000000e+00	-2.553673e-17	1.562393e-18
7.672342171036118e-07	-5.551115e-17	2.729730e-17	1.562384e-18
7.682342171036118e-07	-1.850372e-16	4.640459e-17	1.562384e-18
7.702342171036118e-07	-2.442491e-16	2.517896e-17	1.562394e-18
7.707342171036118e-07	-1.480297e-16	9.031725e-18	1.562396e-18
7.717342171036118e-07	-7.401487e-17	1.685333e-18	1.562397e-18
7.737342171036119e-07	-4.440892e-17	3.335111e-17	1.562398e-18
7.742342171036119e-07	1.480297e-16	2.650392e-17	1.562398e-18
7.752342171036119e-07	3.330669e-16	5.920133e-19	1.562399e-18
7.772342171036119e-07	7.401487e-17	-3.318366e-17	1.562401e-18
7.812342171036119e-07	0.000000e+00	-4.104221e-17	1.562404e-18
7.892342171036119e-07	-8.881784e-17	1.055548e-17	1.562409e-18
7.912342171036119e-07	-3.700744e-17	-1.236643e-17	1.562411e-18
7.952342171036119e-07	-1.042937e-16	-7.873843e-18	1.562414e-18
7.953592171036118e-07	-1.480297e-16	1.212552e-17	1.562414e-18
7.956092171036119e-07	-4.440892e-17	7.307720e-17	1.562414e-18
7.956717171036119e-07	0.000000e+00	5.226055e-17	1.562414e-18
7.957967171036118e-07	-7.401487e-17	-8.889446e-18	1.562414e-18
7.960467171036119e-07	-2.220446e-16	8.127325e-19	1.562414e-18
7.965467171036119e-07	-4.440892e-17	5.570200e-17	1.562415e-18
7.966717171036119e-07	-3.700744e-17	6.488007e-17	1.562415e-18
